OBJECTID,Linear_Distance_km_,Latitude,Longitude,HS,UCL,LCL,Resistencia,Distancia_area,porcen_cobertura,Dist_rios,Dist_corred,Altitud,NDVI,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_1,HOTSP
384,15.817,5.818163576,-75.68751242,6.009366,5.068638,-5.279361,296.196,8395.2012,49,0,4634.5415,589,0.577135026,0.095343068,0.083947882,0.059839338,0.282048583,0.161367461,295.9920959,295.9896851,0.06140158,0.162461415,2,1
385,15.859,5.818412599,-75.68778342,4.124808,5.065256,-5.279679,265.2881,8363.1152,62,0,4612.251,589,0.638799012,0.098844796,0.087555364,0.06613408,0.271868378,0.176719069,296.2468872,295.9896851,0.073524311,0.155473262,2,0
386,15.9,5.818563966,-75.688124,5.089612,5.089612,-5.251306,275.62,8324.2012,45,0,4612.251,595,0.400373012,0.099895865,0.090764299,0.070034906,0.274463922,0.191455424,296.5016785,296.2725525,0.083124153,0.163076639,2,0
387,15.941,5.818715333,-75.68846457,6.043491,5.103309,-5.238695,293.444,8285.334,49,0,4526.7358,595,0.554638028,0.09720657,0.086249307,0.063476227,0.265942335,0.161274299,295.9920959,295.9896851,0.066916674,0.15234904,2,1
388,15.982,5.818866701,-75.68880515,5.984208,5.984208,-5.299654,304.5367,8246.46,51,0,4526.7358,577,0.437837005,0.097223908,0.08739119,0.065338537,0.282423735,0.169980645,296.5016785,296.6955566,0.068913281,0.167089671,2,0
389,16.024,5.819018068,-75.68914572,6.007694,6.007694,-5.277893,315.8225,8207.5762,79,0,4526.7358,577,0.514325976,0.097616509,0.088487178,0.065520972,0.290232867,0.176087469,296.5016785,296.4136658,0.074585028,0.165406585,2,0
390,16.065,5.819169435,-75.68948508,6.008968,6.008968,-5.264893,324.8679,8168.8184,72,0,4405.5908,577,0.379599005,0.097423151,0.088082254,0.064732239,0.282282084,0.172563285,296.5016785,296.4136658,0.073661782,0.160815775,2,0
391,16.106,5.819320802,-75.68982688,7.796577,5.9242,-5.310061,313.5176,8129.8159,49,0,4405.5908,582,0.316341996,0.097223908,0.087615699,0.063623741,0.291090339,0.175709873,296.2468872,296.4136658,0.074090235,0.167709798,2,1
392,16.147,5.819474611,-75.69016501,7.765389,5.899157,-5.298231,300.5175,8091.3545,85,92.6723,4319.9604,582,0.207527995,0.095109589,0.08267092,0.058606312,0.286826313,0.154196292,296.2468872,296.2725525,0.063523516,0.154835165,2,1
393,16.189,5.819752931,-75.69039817,6.781481,5.849959,-5.328307,309.9941,8063.8389,76,92.6723,4319.9604,574,0.325203001,0.095835477,0.084857047,0.060611948,0.29524368,0.16458942,295.9920959,296.1311035,0.066386312,0.166144922,2,1
